"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","656","SEA-004 - User should be able to search for an item using pasted words","chromium","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","1639","REG-004 - User should not be able to register successfully when password is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","636","LG-002 - User should not be able to login with empty password","firefox","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","587","REG-004 - User should not be able to register successfully when address is missing","chromium","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","425","REG-002 - User should not be able to register successfully with an empty Name","chromium","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","819","REG-006 - User should not be able to register successfully with an existing account","webkit","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","1045","REG-004 - User should not be able to register successfully when password is missing","firefox","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1932","REG-001 - User should be able to sign up for a new account successfully","firefox","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","1175","REG-004 - User should not be able to register successfully when city is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","713","LG-003 - User should not be able to login with empty username","webkit","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","960","REG-004 - User should not be able to register successfully when zipcode is missing","firefox","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1484","LG-001 - User should login successfully with valid credentials","chromium","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","336","REG-003 - User should not be able to register successfully with an empty Email Address","chromium","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","1536","REG-004 - User should not be able to register successfully when state is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","700","LG-006 - User should not be able to log in with credentials that have not been registered","firefox","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","588","REG-004 - User should not be able to register successfully when state is missing","chromium","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","633","SEA-002 - There should NOT be any item listed if user search for a non-existing product","chromium","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","555","REG-004 - User should not be able to register successfully when mobileNumber is missing","chromium","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","998","REG-004 - User should not be able to register successfully when state is missing","firefox","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1202","REG-004 - User should not be able to register successfully when zipcode is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","576","REG-005 - User should not be able to register successfully with an invalid Email Address format","webkit","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","1924","LG-001 - User should login successfully with valid credentials","webkit","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","1058","SEA-003 - User should be able to search for a product using keywords","firefox","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","1101","SEA-004 - User should be able to search for an item using pasted words","webkit","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","848","LG-006 - User should not be able to log in with credentials that have not been registered","webkit","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","993","REG-004 - User should not be able to register successfully when address is missing","firefox","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","939","SEA-002 - There should NOT be any item listed if user search for a non-existing product","firefox","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","465","LG-006 - User should not be able to log in with credentials that have not been registered","chromium","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","1439","REG-001 - User should be able to sign up for a new account successfully","chromium","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","760","LG-004 - User should not be able to login with invalid username","webkit","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","1965","REG-004 - User should not be able to register successfully when firstName is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","577","LG-005 - User should not be able to login with invalid password","chromium","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","1095","REG-004 - User should not be able to register successfully when lastName is missing","firefox","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1424","REG-004 - User should not be able to register successfully when lastName is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","582","REG-004 - User should not be able to register successfully when lastName is missing","chromium","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1332","REG-004 - User should not be able to register successfully when mobileNumber is missing","webkit","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","589","REG-004 - User should not be able to register successfully when password is missing","chromium","2026-09-05","passed","2026-09-05","Register Tests > Account Creation Mandatory Fields","register.spec.ts","",""
"","1008","SEA-004 - User should be able to search for an item using pasted words","firefox","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","1033","SEA-002 - There should NOT be any item listed if user search for a non-existing product","webkit","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","301","REG-005 - User should not be able to register successfully with an invalid Email Address format","chromium","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","588","REG-005 - User should not be able to register successfully with an invalid Email Address format","firefox","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
"","748","LG-004 - User should not be able to login with invalid username","firefox","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","1278","SEA-001 - User should be able to search for an existing product","webkit","2026-09-05","passed","2026-09-05","Search Tests","search.spec.ts","",""
"","739","LG-005 - User should not be able to login with invalid password","webkit","2026-09-05","passed","2026-09-05","Login Tests","login.spec.ts","",""
"","681","REG-002 - User should not be able to register successfully with an empty Name","webkit","2026-09-05","passed","2026-09-05","Register Tests","register.spec.ts","",""
